Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,25,2022-1-30,
,502,25,2022-1-30,
,503,25,2022-1-30,
,504,20,2022-1-30,
,505,5,2022-1-30,
,506,10,2022-1-30,
,507,25,2022-1-30,
,508,10,2022-1-30,
,509,45,2022-1-30,
,510,25,2022-1-30,
,511,10,2022-1-30,
,512,5,2022-1-30,
,513,100,2022-1-30,
,514,30,2022-1-30,
,515,20,2022-1-30,
,516,10,2022-1-30,
,517,30,2022-1-30,
,518,50,2022-1-30,
,519,25,2022-1-30,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,20,2022-1-31,
,502,25,2022-1-31,
,503,22,2022-1-31,
,504,20,2022-1-31,
,505,5,2022-1-31,
,506,0,2022-1-31,
,507,25,2022-1-31,
,508,10,2022-1-31,
,509,45,2022-1-31,
,510,25,2022-1-31,
,511,10,2022-1-31,
,512,5,2022-1-31,
,513,65,2022-1-31,
,514,30,2022-1-31,
,515,20,2022-1-31,
,516,10,2022-1-31,
,517,30,2022-1-31,
,518,50,2022-1-31,
,519,25,2022-1-31,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,27,2022-2-1,
,502,30,2022-2-1,
,503,30,2022-2-1,
,504,20,2022-2-1,
,505,5,2022-2-1,
,506,2,2022-2-1,
,507,25,2022-2-1,
,508,12,2022-2-1,
,509,45,2022-2-1,
,510,25,2022-2-1,
,511,6,2022-2-1,
,512,5,2022-2-1,
,513,65,2022-2-1,
,514,50,2022-2-1,
,515,20,2022-2-1,
,516,10,2022-2-1,
,517,30,2022-2-1,
,518,50,2022-2-1,
,519,25,2022-2-1,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,36,2022-2-2,
,502,36,2022-2-2,
,503,36,2022-2-2,
,504,24,2022-2-2,
,505,6,2022-2-2,
,506,2,2022-2-2,
,507,30,2022-2-2,
,508,14,2022-2-2,
,509,54,2022-2-2,
,510,30,2022-2-2,
,511,7,2022-2-2,
,512,6,2022-2-2,
,513,78,2022-2-2,
,514,60,2022-2-2,
,515,24,2022-2-2,
,516,12,2022-2-2,
,517,36,2022-2-2,
,518,60,2022-2-2,
,519,30,2022-2-2,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,46,2022-2-3,
,502,46,2022-2-3,
,503,46,2022-2-3,
,504,31,2022-2-3,
,505,7,2022-2-3,
,506,2,2022-2-3,
,507,39,2022-2-3,
,508,18,2022-2-3,
,509,70,2022-2-3,
,510,39,2022-2-3,
,511,9,2022-2-3,
,512,7,2022-2-3,
,513,101,2022-2-3,
,514,78,2022-2-3,
,515,31,2022-2-3,
,516,15,2022-2-3,
,517,46,2022-2-3,
,518,78,2022-2-3,
,519,39,2022-2-3,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,46,2022-2-4,
,502,46,2022-2-4,
,503,46,2022-2-4,
,504,31,2022-2-4,
,505,17,2022-2-4,
,506,14,2022-2-4,
,507,39,2022-2-4,
,508,18,2022-2-4,
,509,70,2022-2-4,
,510,39,2022-2-4,
,511,9,2022-2-4,
,512,7,2022-2-4,
,513,101,2022-2-4,
,514,78,2022-2-4,
,515,31,2022-2-4,
,516,15,2022-2-4,
,517,46,2022-2-4,
,518,78,2022-2-4,
,519,39,2022-2-4,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,64,2022-2-5,
,502,64,2022-2-5,
,503,64,2022-2-5,
,504,43,2022-2-5,
,505,23,2022-2-5,
,506,19,2022-2-5,
,507,54,2022-2-5,
,508,25,2022-2-5,
,509,98,2022-2-5,
,510,54,2022-2-5,
,511,12,2022-2-5,
,512,9,2022-2-5,
,513,141,2022-2-5,
,514,109,2022-2-5,
,515,43,2022-2-5,
,516,21,2022-2-5,
,517,64,2022-2-5,
,518,109,2022-2-5,
,519,54,2022-2-5,
