Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,25,2022-2-20,
,502,74,2022-2-20,
,503,4,2022-2-20,
,504,79,2022-2-20,
,505,75,2022-2-20,
,506,34,2022-2-20,
,507,59,2022-2-20,
,508,68,2022-2-20,
,509,51,2022-2-20,
,510,43,2022-2-20,
,511,25,2022-2-20,
,512,49,2022-2-20,
,513,19,2022-2-20,
,514,9,2022-2-20,
,515,103,2022-2-20,
,516,28,2022-2-20,
,517,91,2022-2-20,
,518,41,2022-2-20,
,519,79,2022-2-20,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,68,2022-2-21,
,502,13,2022-2-21,
,503,49,2022-2-21,
,504,17,2022-2-21,
,505,43,2022-2-21,
,506,61,2022-2-21,
,507,25,2022-2-21,
,508,24,2022-2-21,
,509,89,2022-2-21,
,510,28,2022-2-21,
,511,67,2022-2-21,
,512,48,2022-2-21,
,513,7,2022-2-21,
,514,110,2022-2-21,
,515,92,2022-2-21,
,516,28,2022-2-21,
,517,104,2022-2-21,
,518,79,2022-2-21,
,519,22,2022-2-21,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,76,2022-2-22,
,502,9,2022-2-22,
,503,23,2022-2-22,
,504,2,2022-2-22,
,505,43,2022-2-22,
,506,65,2022-2-22,
,507,79,2022-2-22,
,508,11,2022-2-22,
,509,99,2022-2-22,
,510,104,2022-2-22,
,511,70,2022-2-22,
,512,14,2022-2-22,
,513,75,2022-2-22,
,514,63,2022-2-22,
,515,18,2022-2-22,
,516,93,2022-2-22,
,517,54,2022-2-22,
,518,23,2022-2-22,
,519,106,2022-2-22,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,6,2022-2-23,
,502,45,2022-2-23,
,503,65,2022-2-23,
,504,69,2022-2-23,
,505,72,2022-2-23,
,506,90,2022-2-23,
,507,39,2022-2-23,
,508,18,2022-2-23,
,509,48,2022-2-23,
,510,12,2022-2-23,
,511,22,2022-2-23,
,512,61,2022-2-23,
,513,11,2022-2-23,
,514,104,2022-2-23,
,515,87,2022-2-23,
,516,15,2022-2-23,
,517,33,2022-2-23,
,518,22,2022-2-23,
,519,2,2022-2-23,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,100,2022-2-24,
,502,37,2022-2-24,
,503,15,2022-2-24,
,504,43,2022-2-24,
,505,91,2022-2-24,
,506,98,2022-2-24,
,507,103,2022-2-24,
,508,100,2022-2-24,
,509,14,2022-2-24,
,510,3,2022-2-24,
,511,94,2022-2-24,
,512,73,2022-2-24,
,513,20,2022-2-24,
,514,40,2022-2-24,
,515,91,2022-2-24,
,516,44,2022-2-24,
,517,64,2022-2-24,
,518,3,2022-2-24,
,519,97,2022-2-24,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,95,2022-2-25,
,502,89,2022-2-25,
,503,37,2022-2-25,
,504,19,2022-2-25,
,505,91,2022-2-25,
,506,65,2022-2-25,
,507,31,2022-2-25,
,508,58,2022-2-25,
,509,74,2022-2-25,
,510,2,2022-2-25,
,511,55,2022-2-25,
,512,46,2022-2-25,
,513,78,2022-2-25,
,514,58,2022-2-25,
,515,32,2022-2-25,
,516,53,2022-2-25,
,517,43,2022-2-25,
,518,5,2022-2-25,
,519,11,2022-2-25,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,8,2022-2-26,
,502,28,2022-2-26,
,503,9,2022-2-26,
,504,47,2022-2-26,
,505,103,2022-2-26,
,506,25,2022-2-26,
,507,110,2022-2-26,
,508,76,2022-2-26,
,509,11,2022-2-26,
,510,81,2022-2-26,
,511,90,2022-2-26,
,512,43,2022-2-26,
,513,91,2022-2-26,
,514,19,2022-2-26,
,515,18,2022-2-26,
,516,38,2022-2-26,
,517,96,2022-2-26,
,518,15,2022-2-26,
,519,88,2022-2-26,
