Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,57,2022-2-13,
,502,5,2022-2-13,
,503,73,2022-2-13,
,504,47,2022-2-13,
,505,73,2022-2-13,
,506,44,2022-2-13,
,507,40,2022-2-13,
,508,100,2022-2-13,
,509,23,2022-2-13,
,510,30,2022-2-13,
,511,88,2022-2-13,
,512,67,2022-2-13,
,513,103,2022-2-13,
,514,88,2022-2-13,
,515,74,2022-2-13,
,516,46,2022-2-13,
,517,101,2022-2-13,
,518,19,2022-2-13,
,519,34,2022-2-13,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,60,2022-2-14,
,502,86,2022-2-14,
,503,86,2022-2-14,
,504,84,2022-2-14,
,505,60,2022-2-14,
,506,8,2022-2-14,
,507,21,2022-2-14,
,508,100,2022-2-14,
,509,15,2022-2-14,
,510,75,2022-2-14,
,511,15,2022-2-14,
,512,23,2022-2-14,
,513,86,2022-2-14,
,514,76,2022-2-14,
,515,7,2022-2-14,
,516,16,2022-2-14,
,517,49,2022-2-14,
,518,103,2022-2-14,
,519,91,2022-2-14,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,104,2022-2-15,
,502,90,2022-2-15,
,503,86,2022-2-15,
,504,52,2022-2-15,
,505,52,2022-2-15,
,506,10,2022-2-15,
,507,110,2022-2-15,
,508,86,2022-2-15,
,509,51,2022-2-15,
,510,23,2022-2-15,
,511,70,2022-2-15,
,512,26,2022-2-15,
,513,39,2022-2-15,
,514,69,2022-2-15,
,515,2,2022-2-15,
,516,99,2022-2-15,
,517,104,2022-2-15,
,518,91,2022-2-15,
,519,61,2022-2-15,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,41,2022-2-16,
,502,69,2022-2-16,
,503,79,2022-2-16,
,504,9,2022-2-16,
,505,24,2022-2-16,
,506,74,2022-2-16,
,507,17,2022-2-16,
,508,79,2022-2-16,
,509,68,2022-2-16,
,510,8,2022-2-16,
,511,41,2022-2-16,
,512,16,2022-2-16,
,513,15,2022-2-16,
,514,102,2022-2-16,
,515,63,2022-2-16,
,516,41,2022-2-16,
,517,14,2022-2-16,
,518,91,2022-2-16,
,519,108,2022-2-16,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,59,2022-2-17,
,502,47,2022-2-17,
,503,64,2022-2-17,
,504,27,2022-2-17,
,505,35,2022-2-17,
,506,99,2022-2-17,
,507,13,2022-2-17,
,508,46,2022-2-17,
,509,35,2022-2-17,
,510,82,2022-2-17,
,511,28,2022-2-17,
,512,84,2022-2-17,
,513,34,2022-2-17,
,514,34,2022-2-17,
,515,42,2022-2-17,
,516,104,2022-2-17,
,517,110,2022-2-17,
,518,18,2022-2-17,
,519,110,2022-2-17,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,30,2022-2-18,
,502,92,2022-2-18,
,503,64,2022-2-18,
,504,93,2022-2-18,
,505,7,2022-2-18,
,506,29,2022-2-18,
,507,86,2022-2-18,
,508,41,2022-2-18,
,509,97,2022-2-18,
,510,52,2022-2-18,
,511,39,2022-2-18,
,512,107,2022-2-18,
,513,105,2022-2-18,
,514,39,2022-2-18,
,515,75,2022-2-18,
,516,57,2022-2-18,
,517,49,2022-2-18,
,518,43,2022-2-18,
,519,50,2022-2-18,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,275,2022-2-19,
,502,343,2022-2-19,
,503,378,2022-2-19,
,504,405,2022-2-19,
,505,223,2022-2-19,
,506,500,2022-2-19,
,507,382,2022-2-19,
,508,361,2022-2-19,
,509,316,2022-2-19,
,510,408,2022-2-19,
,511,279,2022-2-19,
,512,354,2022-2-19,
,513,443,2022-2-19,
,514,279,2022-2-19,
,515,241,2022-2-19,
,516,222,2022-2-19,
,517,254,2022-2-19,
,518,500,2022-2-19,
,519,444,2022-2-19,
