Item,c1001,f3002,d2004,c1002,d2007,d2009,d2013,d2014,d2015,d2016,d2017,d2018,d2019,d2020,d2021,d2022,d2024,d2026,d2027,d2035,d2001,d2002,d2003,c1003,d2005,c1004,d2006,d2008,d2010,d2011,c1005,c1006,d2012
501,0.05,0.002083333,0.005882353,0.0125,0.002,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0,0,0,0,0.001,0.001,0.000833333,0.005,0.01,0.001,0.01,0.01,0.001,0.01,0.0015,0.02,0,0.001,0,0,0.002857143
502,0.05,0.002083333,0.005882353,0.0125,0.002,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0,0,0,0,0.001,0.001,0.000833333,0.005,0.01,0.001,0.01,0.01,0.001,0.01,0.0015,0.02,0,0.001,0,0,0.002857143
503,0.05,0.002083333,0.005882353,0.0125,0.002,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0,0,0,0,0.001,0.001,0.000833333,0.005,0.01,0.001,0.01,0.01,0.001,0.01,0.0015,0.02,0,0.001,0,0,0.002857143
504,0.05,0.002083333,0.005882353,0.0125,0.002,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0,0,0,0,0.001,0.001,0.000833333,0.005,0.01,0.001,0.01,0.01,0.001,0.01,0.0015,0.02,0,0.001,0,0,0.002857143
505,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0.000833333,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0
506,0.2,0.008333333,0.025,0.05,0.008,0.027777778,0.027777778,0.027777778,0.027777778,0.027777778,0.027777778,0.027777778,0,0,0,0,0.004,0.004,0.000833333,0,0.1,0.01,0.1,0.1,0.01,0.03,0.01,0.04,0,0.005,0,0,0.006666667
507,0.05,0.002083333,0.005882353,0.0125,0.002,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.000833333,0.005,0.01,0.001,0.01,0.01,0.001,0.01,0.0015,0.02,0,0.001,0,0,0.002857143
508,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000833333,0.005,0.01,0.001,0.01,0.01,0.001,0.01,0.0015,0.02,0,0.001,0,0,0.002857143
509,0.05,0.002083333,0.005882353,0.0125,0.002,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0,0,0,0,0,0,0.000833333,0.005,0.01,0.001,0.01,0.01,0.001,0.01,0.0015,0.02,0,0.001,0,0,0.002857143
510,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.000833333,0.005,0.01,0.001,0.01,0.01,0.001,0.01,0.0015,0.02,0,0.001,0,0,0.002857143
511,0,0.002083333,0.1666667,0.0125,0.002,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0,0,0,0,0,0,0.000833333,0.005,0,0.001,0.01,0.01,0.001,0.01,0,0.02,0,0.001,0.006024096,0.001,0.002857143
512,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000833333,0.005,0,0.001,0.01,0.01,0.001,0.01,0,0.02,0,0.001,0.006024096,0.001,0.002857143
513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000833333,0,0,0.001,0.01,0.01,0.001,0.01,0,0.02,0,0.001,0,0,0.002857143
514,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000833333,0,0.01,0.001,0.01,0.01,0.001,0.01,0,0.02,0,0.001,0,0,0.002857143
515,0,0,0.005882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000833333,0,0,0.001,0.01,0.01,0.001,0.01,0,0.02,0,0.001,0,0,0.002857143
516,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000833333,0,0,0.001,0.01,0.01,0.001,0.01,0,0.02,0,0.001,0,0,0.002857143
517,0,0.002083333,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000833333,0,0,0.001,0.01,0.01,0.001,0.01,0.0015,0.02,0,0.001,0,0,0.002857143
518,0,0,0,0,0,0,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0.006944444,0,0,0,0,0.001,0.001,0.000833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0.010416667,0.010416667,0.010416667,0,0,0.000833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
